book_id,library_id,title,author,genre,publisher,publication_date,language,isbn,quantity
61,2,De-engineered mission-critical utilization,Gary Keith,doctor,Kidd-Pena,2017-01-16,gv,978-1-9821-7135-3,1
62,2,Cross-platform high-level analyzer,Susan Valencia,the,Robertson-Jimenez,2021-01-10,dv,978-0-464-37556-2,1
63,3,Multi-channeled systematic ability,Jeff Macdonald,although,David-Burns,2022-07-02,nb,978-1-4056-5950-5,2
64,5,Distributed incremental implementation,Robin Calderon,myself,"Griffith, Bradley and Cobb",2024-06-10,ia,978-0-608-71732-6,2
65,2,Enterprise-wide non-volatile application,Anthony Mercado,friend,Stout Group,2023-05-12,mt,978-1-279-93612-2,1
66,3,Object-based actuating attitude,Marc Hall,address,Flores LLC,2022-11-19,lg,978-1-208-43621-1,1
67,4,Reduced scalable software,Julie Bradford,may,Moore-Harper,2021-12-07,bho,978-0-9788200-2-2,1
68,5,Polarized zero tolerance application,Julie Villanueva,unit,"Murphy, Higgins and Carlson",2017-02-04,ne,978-1-306-79637-8,2
69,3,User-centric value-added alliance,Todd Garner,loss,Anthony and Sons,2022-09-15,gu,978-0-252-47178-0,2
70,2,Robust optimal frame,Kathleen Rivera,more,"Sanders, Owen and Harris",2022-09-19,nso,978-0-211-35613-4,1
71,5,Inverse 6thgeneration throughput,Valerie Mccoy,against,Brewer-Clark,2019-11-05,sd,978-1-5422-2531-1,2
72,3,Expanded radical task-force,Crystal Robinson,building,Davis and Sons,2023-09-27,yue,978-1-191-64534-8,1
73,5,Open-source didactic hardware,Patrick Thompson,use,Freeman-Robertson,2022-08-13,byn,978-0-9927051-3-8,1
74,1,Quality-focused 24hour knowledge user,Richard Hayes,bit,Hawkins-Garza,2023-11-27,fy,978-0-535-70672-1,2
75,1,Open-architected eco-centric success,Jerry Lopez,arrive,"York, Young and Moreno",2014-08-01,aa,978-0-8421-9257-6,2
76,4,Re-engineered stable concept,Cristian Wagner,treat,Hernandez LLC,2015-09-04,ug,978-1-4265-0637-6,1
77,5,Universal fresh-thinking service-desk,Anne Hernandez,three,Reed-Soto,2023-10-16,the,978-1-380-85734-7,1
78,5,Diverse multimedia core,Emily Jones,since,Wheeler-Hunt,2019-09-20,brx,978-1-02-484083-4,1
79,2,Self-enabling national open architecture,Anna Chen,couple,Bell-Guerra,2015-02-15,ro,978-1-956123-45-6,1
80,1,Fundamental scalable emulation,Robert Davis,new,Rodriguez-Banks,2021-07-28,lv,978-1-79261-636-5,1
81,5,Future-proofed motivating approach,David Quinn,could,Rodriguez-Hall,2021-11-22,ce,978-0-230-94201-1,1
82,3,Seamless heuristic orchestration,Lisa Kim,yeah,Bridges PLC,2022-05-20,da,978-0-7094-8949-8,2
83,3,Decentralized explicit benchmark,Ryan Thompson,participant,Payne-Sheppard,2017-11-25,sid,978-0-653-77826-6,2
84,5,Polarized composite concept,Robert Jordan,energy,"Murillo, Wolf and Wright",2016-06-12,th,978-0-9898166-2-5,2
85,3,Right-sized demand-driven alliance,Miss Cindy Martin,possible,Floyd-Pruitt,2015-07-23,niu,978-1-954645-33-2,2
86,4,Fully-configurable didactic alliance,Amanda Allen,sometimes,Davis-Kim,2016-12-20,fur,978-1-80813-818-8,2
87,3,Fully-configurable human-resource Graphic Interface,Gary Carey,away,Scott LLC,2021-12-17,si,978-1-06-538467-0,2
88,1,Reactive zero administration Graphic Interface,Amber Miles,recent,Henry-Brown,2021-03-03,an,978-0-18-466354-3,2
89,2,Robust zero tolerance approach,Shawn Byrd MD,best,Wilson-Perry,2019-11-14,el,978-1-00-105014-0,2
90,4,Self-enabling multi-state paradigm,Dorothy Smith,exist,"Rosales, Lin and Patton",2020-06-14,yue,978-1-217-08656-8,2
91,3,Mandatory attitude-oriented hub,Benjamin Mitchell,west,Sparks-Moore,2018-01-02,sd,978-1-370-79527-7,2
92,1,Open-architected context-sensitive focus group,Lacey Miller,not,"Sanders, Bentley and Simmons",2019-11-18,ur,978-1-56918-679-4,1
93,5,Persistent grid-enabled superstructure,Morgan Fitzgerald,but,"Berger, Garrett and Baker",2020-07-21,kw,978-1-4420-1486-2,2
94,5,Re-contextualized web-enabled contingency,Linda Miller,imagine,"Rodriguez, Owens and Jones",2015-04-29,vi,978-0-319-47010-7,1
95,4,User-friendly multi-state algorithm,Jonathan Gibson,want,Patel Ltd,2018-08-30,yue,978-1-78378-439-4,1
96,2,Front-line 6thgeneration time-frame,Andrea Sellers,when,Daniels Ltd,2016-04-27,uk,978-0-625-00385-3,2
97,2,Business-focused local challenge,Emily Alexander,whole,Ford PLC,2019-09-24,fr,978-0-14-186931-5,2
98,2,Streamlined empowering challenge,Brandon Roberts,blue,Crawford Ltd,2017-03-16,de,978-1-4165-6639-7,2
99,4,Optimized logistical help-desk,Stacey Hart,generation,"Arellano, Pierce and Fuller",2017-08-12,fi,978-0-01-235773-6,1
100,4,Implemented demand-driven framework,Tyler Harrell,car,Kirk Group,2023-08-22,eu,978-1-9994266-3-7,2
